Year,Week_Number,Close,Net,Open,Low,High,Bid,Ask,Exchange Date,1_Week_Long_Return,Price Score,Bullish_Bearish_Score,Delta_Score,Absolute Storage Score,Delta Inventory Score,1_Week_Short_Return,2_Week_Long_Return,2_Week_Short_Return,3_Week_Long_Return,3_Week_Short_Return,4_Week_Long_Return,4_Week_Short_Return,8_Week_Long_Return,8_Week_Short_Return,12_Week_Long_Return,12_Week_Short_Return,24_Week_Long_Return,24_Week_Short_Return,Total_Score
2023,45,77.17,-3.34,81.13,74.91,82.24,77.33,77.4,2023-11-06,-1.6586756511597787,0.0,1.0,1.0,1.0,-1.0,1.6866517327711161,-2.1122197745237727,2.1577971935398343,-4.017105092652596,4.185230187660327,-7.697291693663337,8.339182928541344,-4.354023584294414,4.552228695298743,-6.336659323571336,6.765356945213052,8.656213554490078,-7.966607036374473,2.0
2023,44,80.51,-5.03,85.0,80.1,85.3,80.81,80.9,2023-10-30,-4.148552974785745,0.0,1.0,1.0,1.0,-1.0,4.328106777245044,-5.738417587877287,6.087758597970749,-6.173146193019499,6.579295737357693,-7.999006334616832,8.694478196300803,-11.004844118743012,12.365666434054434,-3.1052043224444166,3.2047173439302634,3.266674947211521,-3.163338946355543,2.0
2023,43,85.54,-3.21,88.0,82.08,88.29,84.95,85.23,2023-10-23,-5.880289922843115,0.0,1.0,-1.0,1.0,1.0,6.247671096758167,-9.784895955108725,10.846183750161975,-11.281271919569798,12.715772829094751,-11.690437222352115,13.238019592269001,-14.005143792377838,16.28602501359435,-14.180500350713126,16.523634382236764,0.1402852466682141,-0.14008872285780072,2.0
2023,42,88.75,1.06,87.72,85.6,90.78,88.8,90.88,2023-10-16,-3.616901408450697,0.0,1.0,1.0,1.0,1.0,3.75263034837503,-9.284507042253514,10.2347534467768,-13.04788732394366,15.0058312815861,-14.490140845070421,16.945579127684795,-19.51549295774647,24.247515049698997,-18.10704225352112,22.11062190423774,-2.073239436619722,2.117132665976307,4.0
2023,41,87.69,4.9,85.25,82.31,87.83,87.4,87.75,2023-10-09,1.2088037404493128,0.0,-1.0,1.0,1.0,1.0,-1.1943661971831054,-2.4518189075151002,2.513444002805687,-8.187934770213243,8.918146814060357,-11.99680693351579,13.632240507969406,-18.77066940358079,23.108240909729027,-15.82848671456266,18.805039967484085,-5.154521610217809,5.434651917758804,2.0
2023,40,82.79,-8.0,90.82,81.5,91.88,82.77,82.82,2023-10-02,5.918589201594385,0.0,-1.0,-1.0,1.0,-1.0,-5.587866347360004,7.1989370696944,-6.715492957746472,3.321657204976446,-3.2148702361468273,-2.7539557917622917,2.8319463420693136,-10.53267302814351,11.772647495612286,-13.45573136852277,15.547801814375429,-2.6090107500906035,2.6789036338831895,-2.0
2023,39,90.79,0.76,90.55,88.19,95.03,90.75,90.78,2023-09-25,-8.81154312148915,0.0,-1.0,-1.0,1.0,1.0,9.663002778113295,-3.414472959577055,3.5351807503706256,-2.2469434959797403,2.298591549295792,-5.782575173477255,6.137479541734869,-16.79700407533869,20.187979878210214,-18.97786099790726,23.42305600870038,-10.739068179314902,12.03109575518262,0.0
2023,38,90.03,-0.74,91.2,88.37,93.74,90.31,90.35,2023-09-18,0.8441630567588638,0.0,-1.0,-1.0,-1.0,1.0,-0.8370965965414756,-8.041763856492274,8.745017514192522,-2.599133622125962,2.6684912760862156,-1.4217483061201834,1.4422535211267684,-15.70587581917139,18.632230860455934,-20.65978007330889,26.039479210415784,-13.351105187159831,15.408280989616706,-2.0
2023,37,90.77,3.26,87.4,86.71,91.23,91.2,91.24,2023-09-11,-0.8152473284124655,0.0,-1.0,1.0,-1.0,1.0,0.8219482394757227,0.02203371157872671,-0.022028857803735313,-8.791450919907447,9.638845271168005,-3.3931915831221753,3.5123731326262897,-14.982923873526492,17.623428793572614,-21.52693621240497,27.43226168749122,-11.898204252506332,13.505064399149669,0.0
2023,36,87.51,1.96,86.06,85.02,88.08,87.21,87.25,2023-09-04,3.7252885384527374,0.0,-1.0,-1.0,-1.0,-1.0,-3.5914949873306012,2.8796708947548804,-2.799066977674103,3.7481430693635023,-3.6127326798105486,-5.39366929493772,5.701171639086855,-7.99908581876357,8.694572102844367,-15.358244772026067,18.144997974888643,-12.592846531824945,14.40711204078966,-4.0
2023,35,85.55,5.72,80.15,79.34,86.06,86.02,86.06,2023-08-28,2.2910578609000676,0.0,-1.0,1.0,1.0,1.0,-2.2397440292538096,6.101694915254236,-5.750798722044726,5.236703682057281,-4.976119071420637,6.1250730566920035,-5.7715607445754,-0.011689070718867219,0.01169043722233365,-11.700759789596717,13.251257611861256,-7.434248977206312,8.031317085490585,2.0
2023,34,79.83,-1.42,81.43,77.59,82.47,79.98,80.08,2023-08-21,7.165226105474131,0.0,-1.0,1.0,-1.0,1.0,-6.686148451198126,9.620443442314928,-8.776139869729182,13.704121257672552,-12.052440233557338,12.777151446824506,-11.329556814395204,11.173744206438684,-10.050704225352113,-4.935487911812599,5.191724864936087,-3.7454591005887448,3.891202498698587,0.0
2023,33,81.25,-1.94,83.09,78.95,83.2,81.17,81.73,2023-08-14,-1.7476923076923099,0.0,-1.0,1.0,-1.0,1.0,1.7787799073030186,5.292307692307689,-5.026300409117468,7.704615384615391,-7.153468175065713,11.716923076923072,-10.488046711468545,7.926153846153844,-7.34405291367316,-5.0215384615384595,5.287028638071778,-11.04,12.410071942446033,0.0
2023,32,83.19,0.37,82.82,79.9,84.89,83.03,83.1,2023-08-07,-2.3320110590215144,0.0,-1.0,1.0,-1.0,1.0,2.387692307692313,-4.038946988820771,4.208944006012771,2.8368794326241127,-2.758620689655167,5.192931842769573,-4.93657867672267,-0.48082702247865305,0.4831501389056525,-3.221541050607035,3.3287790336604006,-6.226709941098681,6.640174336623494,0.0
2023,31,82.82,2.24,80.65,78.69,83.24,82.64,82.69,2023-07-31,0.4467519922724035,0.0,-1.0,1.0,-1.0,-1.0,-0.44476499579276796,-1.8956773726153022,1.9323076923076776,-3.610239072687751,3.745459100588744,3.2963052402801307,-3.1911163062536607,9.62327940111086,-8.778499834783581,3.2842308621106175,-3.179798924479793,-11.361989857522333,12.81841710938565,-2.0
2023,30,80.58,3.51,77.01,76.44,80.71,80.66,80.72,2023-07-24,2.779846115661448,0.0,-1.0,1.0,-1.0,1.0,-2.7046607099734277,3.239017125837676,-3.1373963216732803,0.8314718292380264,-0.8246153846153903,-0.9307520476545048,0.9394964299135555,11.727475800446765,-10.496501166277906,10.138992305783075,-9.205633802816903,-9.803921568627441,10.869565217391287,0.0
2023,29,77.07,1.65,75.02,73.84,77.29,76.78,76.85,2023-07-17,4.554301284546523,0.0,-1.0,-1.0,-1.0,-1.0,-4.355919583023093,7.460749967561957,-6.9427674474764505,7.9408330089529064,-7.356653443923555,5.423640845984179,-5.144615384615392,17.776047748799797,-15.093092431420075,13.779680809653568,-12.110845022237438,-4.229920851174246,4.416745698414837,-4.0
2023,28,75.42,1.56,73.86,72.67,77.33,75.23,75.31,2023-07-10,2.187748607796329,0.0,-1.0,-1.0,-1.0,1.0,-2.140910860256895,6.8416865552903685,-6.403574087862984,9.811721028904788,-8.935039845447946,10.302307080350035,-9.340064911648028,16.03023070803501,-13.815563935550223,9.771943781490327,-8.902041309336884,-4.998674091752845,5.26168876482902,-2.0
2023,27,73.86,3.22,70.45,69.69,73.92,73.66,73.74,2023-07-03,2.1121039805036586,0.0,-1.0,-1.0,-1.0,-1.0,-2.0684168655529023,4.346060113728668,-4.165044764499792,9.098294069861899,-8.339538346984366,12.13105875981586,-10.818642839893744,15.827240725697262,-13.664523670368201,22.92174383969673,-18.647428130851416,-0.4061738424045453,0.4078303425774754,-4.0
